singular;plural;gender;english singular;english plural;level;lesson;tags
Fisch;Fische;m;fish;fish;a1.1;9;
Fleisch;;n;meat;;a1.1;9;
Käse;;m;cheese;;a1.1;9;
Kartoffel;Kartoffeln;f;potato;potatoes;a1.1;9;
Kuchen;Kuchen;m;cake;cakes;a1.1;9;
Milch;;f;milk;;a1.1;9;
Obst;;n;fruit;;a1.1;9;
Orange;Orangen;f;orange;oranges;a1.1;9;
Reis;;m;rice;;a1.1;9;
Sahne;;f;cream;;a1.1;9;
Salat;Salate;m;salad;salads;a1.1;9;
Schinken;;m;ham;;a1.1;9;
Schokolade;Schokoladen;f;chocolate;chocolates;a1.1;9;
Suppe;Suppen ;f;soup;soups;a1.1;9;
Tee;Tees;m;tea;teas;a1.1;9;
Tomate;Tomaten;f;tomato;tomatoes;a1.1;9;
Wurst;Würste;f;sausage;sausages;a1.1;9;
Zitrone;Zitronen;f;lemon;lemons;a1.1;9;
Zwiebel;Zwiebeln;f;onion;onions;a1.1;9;
Durst;;m;thirst;;a1.1;9;
Frühstuck;Frühstucke;n;breakfast;breakfast;a1.1;9;
Hunger;;m;hunger;;a1.1;9;
Kühlschrank;Kühlschränke;m;fridge;fridges;a1.1;9;
Bahnhof;Bahnhöfe;m;train station;train stations;a1.1;10;
Bahnsteig;Bahnsteige;m;platform;platform;a1.1;10;
Bus;Busse;m;bus;busses;a1.1;10;
Halt;Halte;m;stop;stops;a1.1;10;
Haltestelle;Haltestellen;f;stop;stop;a1.1;10;
Flughafen;Flughäfen;m;airport;airports;a1.1;10;
Flugzeug;Flugzeuge;n;plane;planes;a1.1;10;
Gepäck;;n;luggage;;a1.1;10;
Gleis;Gleise;n;track;tracks;a1.1;10;
Koffer;Koffer;m;suitcase;suitcases;a1.1;10;
S-Bahn;S-Bahnen;f;s-bahn;s-bahns;a1.1;10;
Straßenbahn;Straßenbahnen;f;tram;trams;a1.1;10;
Taxi;Taxis;n;taxi;taxis;a1.1;10;
U-Bahn;U-Bahnen;f;u-bahn;u-bahns;a1.1;10;
Verkehrsmittel;Verkehrsmittel;n;transport;transport;a1.1;10;
Zug;Züge;m;train;trains;a1.1;10;
Minute;Minuten;f;minute;minutes;a1.1;10;
Vorsicht;;f;attention;attention;a1.1;10;
Haus;Häuser;n;house;houses;a1.2;14;
Wohnung;Wohnungen;f;apartment;apartments;a1.2;14;
Balkon;Balkone;m;balcony;balconies;a1.2;14;
Baum;Bäume;m;tree;trees;a1.2;14;
Blume;Blumen;f;flower;flowers;a1.2;14;
Erdgeschoss;Erdgeschosse;n;ground floor;ground floors;a1.2;14;
Fenster;Fenster;n;window;windows;a1.2;14;
Garage;Garagen;f;garage ;garages;a1.2;14;
Garten;Gärten;m;garden;gardens;a1.2;14;
Keller;Keller;m;cellar;cellar;a1.2;14;
Licht;Lichter;n;light;lights;a1.2;14;
Miete;Mieten;f;rent;rent;a1.2;14;
Müll;;m;garbage;garbage;a1.2;14;
Nachbar;Nachbarn;m;neighbour;neighbours;a1.2;14;
Quadratmeter;;m;square meters;;a1.2;14;
Stock;Stockwerke;m;floor;floors;a1.2;14;
Treppe;Treppen;f;stairs;stairs;a1.2;14;
Vermieter;Vermieter;m;landlord;landlord;a1.2;14;
Wasser;;n;water;;a1.2;14;
Flur;Flure;m;hall;halls;a1.2;14;
Kinderzimmer;;n;nursery;;a1.2;14;
Küche;Küchen;f;kitchen;kitchens;a1.2;14;
Schlafzimmer;Schlafzimmer;n;bedroom;bedrooms;a1.2;14;
Toilette;Toiletten;f;bathroom;bathrooms;a1.2;14;
Wohnzimmer;Wohnzimmer;n;living room;living rooms;a1.2;14;
Zimmer;Zimmer;n;room;rooms;a1.2;14;
Berg;berge;m;mountain;mountains;a1.2;14;
Fluss;Flüsse;m;river;rivers;a1.2;14;
Meer;Meere;n;sea;seas;a1.2;14;
Wald;Wälder;m;forest;forests;a1.2;14;
Anzeige;Anzeigen;f;display ;displays;a1.2;14;
Fabrik;Fabriken;f;factory;factories;a1.2;14;
Stadt;Städte;f;city;cities;a1.2;14;
Zelt;Zelte;n;tent;tents;a1.2;14;
Arbeitszimmer;Arbeitszimmer;n;workroom;workroom;a1.2;14;
Bad;Bäder;n;bath;baths;a1.2;14;
Arbeit;Arbeiten;f;work;work;a1.1;11;
Hausaufgabe;Hausaufgaben;f;homework;homework;a1.1;11;
Pause;Pausen;f;break;breaks;a1.1;11;
Zeitung;Zeitungen;f;newspaper;newspaper;a1.1;11;
Baby;Babys;n;baby;babies;a1.1;11;
Fahrrad;Fahrräder;n;bike;bikes;a1.1;11;
Geschenk;Geschenke;n;gift;gifts;a1.1;11;
Monat;Monate;m;month;months;a1.1;11;
Paar;Paare;n;couple;couples;a1.1;11;
Party;Partys;f;party;parties;a1.1;11;
Reise;Reisen;f;trip;trips;a1.1;11;
Sport;;m;sports;;a1.1;11;
Wein;Weine;m;wine;wines;a1.1;11;
Ding;Dinge;n;thing;things;a2.1;2;
Ecke;Ecken;f;corner;corners;a2.1;2;
Fernsehgerät;Fernsehgeräte;n;tv;tvs;a2.1;2;
Gegenstand;Gegenstände;m;object;objects;a2.1;2;
Herd;Herde;m;stove;stoves;a2.1;2;
Kissen;Kissen;n;pillow;pillows;a2.1;2;
Raum;Räume;m;room;rooms;a2.1;2;
